	GITTstep	OCV [V]	Q [mAh]	I_pol [mA]	t_pol [s]	OCV_slope_final [V/s]	Q_corr [mAh]	t_tot_cum [h]	dU/dt_sd [V/s]	dU/dt_relax [V/s]	I_sd [mA]	U_err, instrument [V]	U_err,sd pos [V]	U_err,relax negative [V]	I_err, instrument [mA]	Q_err, instrument sym [mAh]	Q0_err,instr cumulative shared sym [mAh]	Q_err,sd cumulative shared neg [mAh]	dV pos [V]	dV neg [V]	q [mAh/g]	dq_mass [mAh/g]	q_err_pos tot [mAh/g]	q_err_neg tot [mAh/g]	q_err_pos incl sd [mAh/g]	q_err_neg incl sd [mAh/g]	q_err_pos from instr [mAh/g]	q_err_neg from instr [mAh/g]
0	0.0	3.544461	0.0174961113142718	0.0524446485655837	1200.0001251697	-1.16881292547013e-07	0.133723681314272	2.33333336810269	0.0	-1.16881292547013e-07	0.0	0.0006544461	0.0	0.0012623179595077	0.0001762223242827	5.8740780888068e-05	0.006558740780888	0.011	0.0006544461	0.0019167640595077	25.471177393194665	0.43664875531190855	1.6859327135762894	3.7811708088143843	1.2492839582643809	3.344522053502476	1.2492839582643809	1.2492839582643809
1	1.0	3.553288	0.034992957564642	0.052444848221999	1200.00012516975	-1.47585169937645e-07	0.151220527564642	4.66666673620539	0.0	-1.47585169937645e-07	0.0	0.0006553288	0.0	0.0015939198353265	0.000176222424111	5.87408141641436e-05	0.0066174815950522	0.011	0.0006553288	0.0022492486353265	28.80391001231276	0.4937813144967902	1.7542539992686377	3.849492094506733	1.2604726847718475	3.3557107800099426	1.2604726847718475	1.2604726847718475
2	2.0	3.5615239	0.0524898172445843	0.0524450686093294	1200.00012516975	-1.56642602676005e-07	0.168717387244584	7.00000010430808	0.0	-1.56642602676005e-07	0.0	0.00065615239	0.0	0.0016917401089008	0.0001762225343046	5.87408508953691e-05	0.0066762224459475	0.011	0.00065615239	0.0023478924989008	32.136645189444565	0.5509139175333354	1.8225753358090495	3.917813431047145	1.2716614182757142	3.3668995135138093	1.2716614182757142	1.2716614182757142
3	3.0	3.5699568	0.0699865771512045	0.0524448525275154	1200.0001251697	-1.02382843584755e-07	0.186214147151204	9.33333347241078	0.0	-1.02382843584755e-07	0.0	0.00065699568	0.0	0.0011057347107153	0.0001762224262637	5.87408148817269e-05	0.0067349632608293	0.011	0.00065699568	0.0017627303907153	35.469361362134094	0.6080461947794417	1.8908963396993084	3.9861344349374033	1.2828501449198666	3.3780882401579615	1.2828501449198666	1.2828501449198666
4	4.0	3.5790203	0.0874834312834673	0.0524450476414243	1200.0001251697	-9.24510241542826e-08	0.203711001283467	11.6666668405135	0.0	-9.24510241542826e-08	0.0	0.00065790203	0.0	0.0009984710608662	0.0001762225238207	5.87408474007151e-05	0.00679370410823	0.011	0.00065790203	0.0016563730908662	38.80209548256514	0.6651787797011167	1.9592176574592117	4.054455752697307	1.2940388777580951	3.38927697299619	1.2940388777580951	1.2940388777580951
5	5.0	3.5889111	0.104980354699093	0.0524451741408964	1200.0001251697	-6.39037668141455e-08	0.221207924699093	14.0000002086162	0.0	-6.39037668141455e-08	0.0	0.00065889111	0.0	0.0006901606815927	0.0001762225870704	5.87408684839626e-05	0.0068524449767139	0.011	0.00065889111	0.0013490517915927	42.13484279982724	0.7223115908541813	2.0275392054663524	4.122777300704447	1.3052276146121713	3.400465709850266	1.3052276146121713	1.3052276146121713
6	6.0	3.5995901	0.122477402901997	0.0524457209740135	1200.00012516981	-5.58595019902297e-08	0.238704972901997	16.3333335767189	0.0	-5.58595019902297e-08	0.0	0.00065995901	0.0	0.0006032826214944	0.000176222860487	5.87409596228307e-05	0.0069111859363368	0.011	0.00065995901	0.0012632416314944	45.46761388609466	0.7794448094759086	2.0958611783019654	4.19109927354006	1.316416368826057	3.411654464064152	1.316416368826057	1.316416368826057
7	7.0	3.6107028	0.139974672686338	0.0524463797266771	1200.00012516975	-4.86585939950135e-08	0.256202242686338	18.6666669448216	0.0	-4.86585939950135e-08	0.0	0.00066107028	0.0	0.0005255128151461	0.0001762231898633	5.87410694149499e-05	0.0069699270057517	0.011	0.00066107028	0.0011865830951461	48.80042717835009	0.8365787516288588	2.1641838955815635	4.259421990819659	1.3276051439527048	3.4228432391908	1.3276051439527048	1.3276051439527048
8	8.0	3.6222093	0.157471926630965	0.0524461634276253	1200.0001251697	-7.44601570725034e-08	0.273699496630965	21.0000003129242	0.0	-7.44601570725034e-08	0.0	0.00066222093	0.0	0.000804169696383	0.0001762230817138	5.87410333651013e-05	0.0070286680391168	0.011	0.00066222093	0.001466390626383	52.13323745351714	0.8937126420602939	2.2325065542730176	4.3277446495111125	1.3387939122127237	3.4340320074508184	1.3387939122127237	1.3387939122127237
9	9.0	3.6338341	0.174969328588537	0.052446779230275	1200.0001251697	-7.95332253082298e-08	0.291196898588537	23.3333336810269	0.0	-7.95332253082298e-08	0.0	0.00066338341	0.0	0.0008589588333288	0.0001762233896151	5.8741135998887e-05	0.0070874091751157	0.011	0.00066338341	0.0015223422433288	55.466075921626086	0.9508470157993044	2.3008297158213424	4.396067811059437	1.349982700022038	3.445220795260133	1.349982700022038	1.349982700022038
