Q [mAh]	U [V]
0	3.5429946
2.76917579728696E-5	3.5544165
5.53835509303543E-5	3.5563859
8.30754533575641E-5	3.5574492
1.10767272586624E-4	3.5582763
1.38459136680596E-4	3.559064
1.66151128858328E-4	3.5595761
1.93843035619292E-4	3.5600487
2.21534898649487E-4	3.5603639
2.49226759390699E-4	3.5608364
2.76918661780655E-4	3.5612696
3.04610551028616E-4	3.5615061
3.32302397576471E-4	3.5619394
3.5999438530869E-4	3.5620967
3.87686174992058E-4	3.5624906
4.15378140852683E-4	3.5626875
4.43070062941147E-4	3.562924
4.70761925950646E-4	3.5630814
4.98453637928599E-4	3.5633966
5.26145383827388E-4	3.5635542
5.53837123173806E-4	3.5638298
5.8152894679457E-4	3.5639874
6.09220891868075E-4	3.5641843
6.36912711084717E-4	3.564263
6.64604616835713E-4	3.5644993
6.92296511580547E-4	3.5646175
7.19988451148901E-4	3.5647751
7.47680354594357E-4	3.5649327
7.75372228527235E-4	3.5650507
8.03063989811474E-4	3.5652477
8.30755837497612E-4	3.5653659
8.58447812149922E-4	3.5654446
8.86139808686243E-4	3.5656415
9.13831613684694E-4	3.5657204
9.4152362006406E-4	3.5658778
9.69215490755936E-4	3.5660354
9.96907392036584E-4	3.5662717
0.00102459889611436	3.566193
0.00105229016167422	3.5663899
0.00107998145018601	3.5665079
0.00110767279781401	3.5666262
0.00113536433580021	3.5667444
0.00116305619880143	3.5667838
0.00119074795345879	3.5669807
0.00121843967963424	3.5669807
0.00124613154485822	3.5671776
0.0012738234001812	3.5672957
0.0013015152576483	3.5673746
0.00132920714250041	3.5674139
0.00135689901866019	3.5674139
0.00138459086851113	3.5675322
0.00141228281140328	3.5677684
0.00143997459775458	3.5678471
0.00146766649790108	3.5678471
0.00149535830727882	3.567926
0.00152305005975895	3.5679654
0.00155074160317994	3.5680441
0.0015784333118341	3.5683197
0.00160612500084771	3.568241
0.00163381672710594	3.5683986
0.00166150843909217	3.5685562
0.00168920011275344	3.5684379
0.00171689190572335	3.5685562
0.00174458368884193	3.5687135
0.00177227546206779	3.5687925
0.00179996710294237	3.5687925
0.0018276588159841	3.5689105
0.0018553505290755	3.5688711
0.00188304224760996	3.5690287
0.0019107340930899	3.5691074
0.00193842592107339	3.569265
0.00196611768993239	3.5693439
0.00199380946755409	3.5693043
0.00202150116423352	3.5694226
0.00204919289702757	3.5694619
0.00207688472608311	3.5695802
0.00210457651466131	3.5696589
0.0021322684597224	3.5697771
0.00215996028879864	3.5697378
0.00218765212773863	3.5698165
0.00221534400278082	3.5699347
0.00224303583294567	3.5700134
0.0022707276412348	3.5700527
0.00229841952948107	3.5701317
0.0023261113147479	3.5701317
0.00235380315261583	3.570171
0.00238149499699473	3.570289
0.00240918686435041	3.5703284
0.00243687877770513	3.5703679
0.00246457070743872	3.5704466
0.00249226253210256	3.5704859
0.00251995441914433	3.5704859
0.00254764623509927	3.5706435
0.00257533799633384	3.5705649
0.00260302978598409	3.5707222
0.0026307215723354	3.5708011
0.00265841346157922	3.5709192
0.00268610529501819	3.5708798
0.00271379711750481	3.5709587
0.00274148883935064	3.5710374
0.00276918072424001	3.5710767
0.0027968725194037	3.5711161
0.00282456430794878	3.571195
0.00285225615019186	3.5712737
0.0028799478731263	3.5712343
0.0029076396179075	3.5713526
0.00293533133755955	3.5714313
0.00296302311954813	3.5714313
0.00299071486872517	3.57151
0.00301840661574155	3.5714706
0.00304609836605274	3.57151
0.00307379017101808	3.5715889
0.00310148191360136	3.5717069
0.00312917363213582	3.5718251
0.00315686539335383	3.5717858
0.00318455709981836	3.5718645
0.00321224879757398	3.5719038
0.00323994049423271	3.5719434
0.00326763223575221	3.5719827
0.00329532410198616	3.5720221
0.00332301589058091	3.5721403
0.00335070757521109	3.5721797
0.00337839933756739	3.5722583
0.00340609102111724	3.572219
0.00343378265320841	3.5721797
0.00346147424476428	3.5724159
0.00348916593706856	3.572337
0.00351685759000066	3.5724159
0.00354454928662214	3.5724946
0.00357224044390851	3.5724553
0.00359993163509501	3.5724553
0.00362762279020415	3.5726129
0.00365531403933962	3.5725735
0.00368300540995681	3.5726916
0.00371069719086091	3.5726522
0.00373838896086233	3.5727705
0.00376608076252871	3.5727705
0.00379377254013386	3.5728491
0.0038214642816782	3.5728491
0.0038491560954642	3.5728885
0.00387684792455286	3.5730461
0.00390453986634811	3.5729674
0.00393223169759744	3.5731248
0.00395992351461616	3.5731248
0.00398761528465069	3.5731248
0.00401530699114005	3.5731248
0.0040429987468736	3.5732824
0.00407069059235768	3.5732037
0.00409838238312966	3.57344
0.00412607419251568	3.5734006
0.00415376586836245	3.5733217
0.00418145755953673	3.5733613
0.00420914920370198	3.5734006
0.0042368410076201	3.5734793
0.00426453271083948	3.5735186
0.00429222442502363	3.5735186
0.00431991613157508	3.5736369
0.00434760796719541	3.5736369
0.00437529962114576	3.5736762
0.00440299134845535	3.5736762
0.00443068301010049	3.5736762
0.00445837478335119	3.5737945
0.00448606650406288	3.5738732
0.0045137581985568	3.5739125
0.00454144994337526	3.5739125
0.00456914158860429	3.5739914
0.00459683326338314	3.5740701
0.00462452504428724	3.5740701
0.00465221673763875	3.5740701
0.00467990851307909	3.5740308
0.00470760017251803	3.5741883
0.00473529181227502	3.574267
0.0047629835559883	3.5742277
0.00479067519249602	3.5742277
0.00481836695261713	3.5743064
0.00484605865913547	3.5743064
0.00487375036456105	3.5743853
0.00490144212358114	3.5743853
0.00492913385308451	3.5743853
0.00495682559573402	3.5744246
0.00498451727928387	3.5745033
0.00501220895954304	3.5745822
