U [V]	Q [mAh]
3.5673436	0
3.5979198	2.49978045995037E-5
3.6014267	4.99958397944768E-5
3.6036726	7.49939460017615E-5
3.6050912	9.99920434918669E-5
3.606352	1.24990222975612E-4
3.6072978	1.49988503042195E-4
3.6081251	1.7498685306559E-4
3.608795	1.99985254489713E-4
3.6095043	2.2498358702494E-4
3.6100165	2.49981754513251E-4
3.6106075	2.74980142758124E-4
3.6109623	2.99978604262902E-4
3.6114351	3.24976938962936E-4
3.6118289	3.49975400517384E-4
3.6122624	3.74973868624204E-4
3.6126171	3.99972330228322E-4
3.613011	4.24970663852162E-4
3.6133658	4.49969137406184E-4
3.613602	4.74967666723662E-4
3.6139175	4.99966064832277E-4
3.6142327	5.24964536221491E-4
3.6145478	5.49962975912624E-4
3.6147054	5.74961399220758E-4
3.6151389	5.9995980831484E-4
3.6152571	6.24958205372095E-4
3.6155723	6.49956611167226E-4
3.6157693	6.74954988538391E-4
3.6159662	6.99953293729988E-4
3.6161238	7.24951645905773E-4
3.6164392	7.49949983904759E-4
3.6165968	7.74948302234213E-4
3.6167148	7.99946642460095E-4
3.6169907	8.24944997930693E-4
3.6172272	8.49943417948153E-4
3.6173454	8.74941816060907E-4
3.6175424	8.99940213064353E-4
3.6177	9.24938710646497E-4
3.6178576	9.49937154663106E-4
3.6180547	9.74935631491244E-4
3.6181728	9.99934121444821E-4
3.6183699	0.00102493259717193
3.6184879	0.00104993116911087
3.6186062	0.00107492956286917
3.6187638	0.00109992813154641
3.6188427	0.00112492657778164
3.6191186	0.00114992511365977
3.6192762	0.0011749235248814
3.6194338	0.00119992192627241
3.6195124	0.0012249204403162
3.6195914	0.00124991889858411
3.6197883	0.00127491733382973
3.6198672	0.00129991583579944
3.6201035	0.00131011520004521
3.6200641	0.00131016519872265
3.5973288	0.00131091517888424
3.576012	0.00131091517888424
3.5715595	0.00131091517888424
3.5688013	0.00131091517888424
3.566713	0.00131091517888424
3.565255	0.00131091517888424
3.5639154	0.00131091517888424
3.5628515	0.00131091517888424
3.5619453	0.00131091517888424
3.5611178	0.00131091517888424
3.560448	0.00131091517888424
3.5598963	0.00131091517888424
3.5592266	0.00131091517888424
3.5587536	0.00131091517888424
3.5582415	0.00131091517888424
3.557887	0.00131091517888424
3.5574535	0.00131091517888424
3.5570594	0.00131091517888424
3.5567836	0.00131091517888424
3.5564684	0.00131091517888424
3.5561138	0.00131091517888424
3.5558773	0.00131091517888424
3.5555621	0.00131091517888424
3.5554439	0.00131091517888424
3.5552074	0.00131091517888424
3.5548922	0.00131091517888424
3.5546559	0.00131091517888424
3.5544983	0.00131091517888424
3.5543011	0.00131091517888424
3.5541831	0.00131091517888424
3.5539073	0.00131091517888424
3.5537497	0.00131091517888424
3.5536708	0.00131091517888424
3.5535132	0.00131091517888424
3.5533162	0.00131091517888424
3.5533556	0.00131091517888424
3.5531586	0.00131091517888424
3.5530404	0.00131091517888424
3.5529221	0.00131091517888424
3.5527645	0.00131091517888424
3.552528	0.00131091517888424
3.55241	0.00131091517888424
3.55241	0.00131091517888424
3.5522917	0.00131091517888424
3.5521735	0.00131091517888424
3.5520946	0.00131091517888424
3.5520159	0.00131091517888424
3.551937	0.00131091517888424
3.5518583	0.00131091517888424
3.5517794	0.00131091517888424
3.5517007	0.00131091517888424
3.5516218	0.00131091517888424
3.5515431	0.00131091517888424
3.5513855	0.00131091517888424
3.5513066	0.00131091517888424
3.5513066	0.00131091517888424
3.5512673	0.00131091517888424
3.5511097	0.00131091517888424
3.5511883	0.00131091517888424
3.5510308	0.00131091517888424
3.5509914	0.00131091517888424
3.5509521	0.00131091517888424
3.5508338	0.00131091517888424
3.5507549	0.00131091517888424
3.5507945	0.00131091517888424
3.5507549	0.00131091517888424
3.5505973	0.00131091517888424
3.5506369	0.00131091517888424
3.550558	0.00131091517888424
3.5505186	0.00131091517888424
3.5504397	0.00131091517888424
3.550361	0.00131091517888424
3.550361	0.00131091517888424
3.5502428	0.00131091517888424
3.5502428	0.00131091517888424
3.5502428	0.00131091517888424
3.5503215	0.00131091517888424
3.5502821	0.00131091517888424
3.5501245	0.00131091517888424
3.5501245	0.00131091517888424
3.5500063	0.00131091517888424
3.5499669	0.00131091517888424
3.5499669	0.00131091517888424
3.5499669	0.00131091517888424
3.5499669	0.00131091517888424
3.5498487	0.00131091517888424
3.549888	0.00131091517888424
3.5498093	0.00131091517888424
3.54977	0.00131091517888424
3.5497304	0.00131091517888424
3.5496911	0.00131091517888424
3.5497304	0.00131091517888424
3.5496911	0.00131091517888424
3.5495728	0.00131091517888424
3.5496517	0.00131091517888424
3.5495728	0.00131091517888424
3.5495728	0.00131091517888424
3.5496124	0.00131091517888424
3.5495335	0.00131091517888424
3.5496124	0.00131091517888424
3.5495335	0.00131091517888424
3.5494941	0.00131091517888424
3.5494548	0.00131091517888424
3.5494548	0.00131091517888424
3.5493365	0.00131091517888424
3.549297	0.00131091517888424
3.5493365	0.00131091517888424
3.5493759	0.00131091517888424
3.549297	0.00131091517888424
3.5492183	0.00131091517888424
3.5491394	0.00131091517888424
3.549297	0.00131091517888424
3.5492183	0.00131091517888424
3.549179	0.00131091517888424
3.549179	0.00131091517888424
3.5492183	0.00131091517888424
3.549179	0.00131091517888424
3.5491394	0.00131091517888424
3.5491	0.00131091517888424
3.5491394	0.00131091517888424
3.5490607	0.00131091517888424
3.5491	0.00131091517888424
3.5491	0.00131091517888424
3.5490214	0.00131091517888424
3.5490607	0.00131091517888424
3.5489818	0.00131091517888424
3.5489818	0.00131091517888424
3.5489424	0.00131091517888424
3.5489031	0.00131091517888424
3.5489818	0.00131091517888424
3.5489818	0.00131091517888424
3.5489424	0.00131091517888424
3.5488638	0.00131091517888424
3.5488638	0.00131091517888424
3.5489818	0.00131091517888424
3.5489031	0.00131091517888424
3.5488638	0.00131091517888424
3.5487455	0.00131091517888424
3.5489031	0.00131091517888424
3.5487848	0.00131091517888424
3.5488242	0.00131091517888424
3.5488638	0.00131091517888424
3.5488242	0.00131091517888424
3.5487455	0.00131091517888424
3.5488242	0.00131091517888424
3.5488242	0.00131091517888424
3.5487455	0.00131091517888424
3.5487059	0.00131091517888424
3.5487848	0.00131091517888424
3.5487455	0.00131091517888424
3.5487059	0.00131091517888424
3.5487455	0.00131091517888424
3.5487059	0.00131091517888424
3.5486666	0.00131091517888424
3.5487059	0.00131091517888424
3.5486666	0.00131091517888424
3.5487455	0.00131091517888424
3.5486273	0.00131091517888424
3.5486666	0.00131091517888424
3.5486666	0.00131091517888424
3.5485483	0.00131091517888424
3.5485879	0.00131091517888424
3.5487059	0.00131091517888424
3.5486273	0.00131091517888424
3.5485879	0.00131091517888424
3.5486666	0.00131091517888424
3.5485879	0.00131091517888424
3.5487059	0.00131091517888424
3.5485879	0.00131091517888424
3.5485879	0.00131091517888424
3.5485879	0.00131091517888424
3.548509	0.00131091517888424
3.5485483	0.00131091517888424
3.5485879	0.00131091517888424
3.5485879	0.00131091517888424
3.5485483	0.00131091517888424
3.548509	0.00131091517888424
3.5484697	0.00131091517888424
3.5484697	0.00131091517888424
