GITTstep	OCV [V]	q [mAh/g]	Q [mAh]	I_pol [mA]	t_pol [s]	OCV_slope_final [V/s]
0	3.544461	25.4711773931946	0.133723681314272	0.0524446485655837	1200.0001251697	-1.16881292547013E-7
1	3.553288	28.8039100123128	0.151220527564642	0.052444848221999	1200.00012516975	-1.47585169937645E-7
2	3.5615239	32.1366451894446	0.168717387244584	0.0524450686093294	1200.00012516975	-1.56642602676005E-7
3	3.5699568	35.4693613621342	0.186214147151204	0.0524448525275154	1200.0001251697	-1.02382843584755E-7
4	3.5790203	38.8020954825652	0.203711001283467	0.0524450476414243	1200.0001251697	-9.24510241542826E-8
5	3.5889111	42.1348427998272	0.221207924699093	0.0524451741408964	1200.0001251697	-6.39037668141455E-8
6	3.5995901	45.4676138860947	0.238704972901997	0.0524457209740135	1200.00012516981	-5.58595019902297E-8
7	3.6107028	48.8004271783501	0.256202242686338	0.0524463797266771	1200.00012516975	-4.86585939950135E-8
8	3.6222093	52.1332374535172	0.273699496630965	0.0524461634276253	1200.0001251697	-7.44601570725034E-8
9	3.6338341	55.4660759216261	0.291196898588537	0.052446779230275	1200.0001251697	-7.95332253082298E-8
10	3.6453407	58.7989210242705	0.30869433537742	0.0524467025501829	1200.00012516981	-8.7291158249528E-8
11	3.6564927	62.13178364654	0.326191864144335	0.0524470636309316	1200.00012516981	-7.76101432228128E-8
12	3.6672504	65.4646521304617	0.343689423684924	0.052447075347479	1200.0001251697	-8.40305615924205E-8
13	3.6775355	68.7975247711257	0.36118700504841	0.0524471434513937	1200.00012516981	-6.92750202881061E-8
14	3.6871505	72.1303869518415	0.378684531497168	0.0524469727878543	1200.0001251697	-6.7350987625512E-8
15	3.6962533	75.4632642628577	0.396182137380003	0.0524474784209215	1200.0001251697	-9.07038613463473E-8
16	3.7050016	78.7961334728135	0.413679700732271	0.052447083246879	1200.0001251697	-5.75731170851542E-8
17	3.7131979	82.1290207137697	0.431177358747291	0.0524475508316049	1200.00012516981	-7.31294767130895E-8
18	3.7213156	85.4619376401539	0.448675172610808	0.0524480147679255	1200.0001251697	-8.86448749276492E-8
19	3.7289605	88.7948831554476	0.4661731365661	0.0524482876798988	1200.00012516975	-6.94834737961744E-8
20	3.7366052	92.1278173017232	0.483671040834047	0.0524482000664389	1200.00012516975	-8.08730741418716E-8
21	3.7440925	95.4607425030524	0.501168898141025	0.0524479716005918	1200.00012516975	-6.83253075694543E-8
22	3.7517371	98.7936745133703	0.518666791195194	0.0524481645450958	1200.00012516975	-7.31732124579003E-8
